掉落id,掉落类型,分组,道具ID,是否绑定,道具数量,掉落概率
,,,,,,
,1.所有物品随机；2.每件物品随机一次,当掉落类型=1时、每个分组按照权重分别进行随机,,0、不绑定  1、绑定,,当掉落类型为1时 该处填写的为权重权重；当掉落类型为2时 该处填写的为掉落概率（十万分之几）
10001,1,1,12000100,0,1,100
10001,1,1,22000100,0,1,100
10001,1,1,32000100,0,1,100
10001,1,1,42000100,0,1,100
10001,1,1,11000100,0,1,100
10001,1,1,21000100,0,1,100
10001,1,1,31000100,0,1,100
10001,1,1,41000100,0,1,100
10001,1,1,10000100,0,1,100
10001,1,1,20000100,0,1,100
10001,1,1,30000100,0,1,100
10001,1,1,40000100,0,1,100
10001,1,1,15000100,0,1,100
10001,1,1,25000100,0,1,100
10001,1,1,35000100,0,1,100
10001,1,1,45000100,0,1,100
10001,1,1,16000100,0,1,100
10001,1,1,26000100,0,1,100
10001,1,1,36000100,0,1,100
10001,1,1,46000100,0,1,100
10001,1,1,17000100,0,1,100
10001,1,1,27000100,0,1,100
10001,1,1,37000100,0,1,100
10001,1,1,47000100,0,1,100
10001,1,1,18000100,0,1,100
10001,1,1,28000100,0,1,100
10001,1,1,38000100,0,1,100
10001,1,1,48000100,0,1,100
10001,1,1,19000100,0,1,100
10001,1,1,29000100,0,1,100
10001,1,1,39000100,0,1,100
10001,1,1,49000100,0,1,100
10001,1,1,12000500,0,1,100
10001,1,1,22000500,0,1,100
10001,1,1,32000500,0,1,100
10001,1,1,42000500,0,1,100
10001,1,1,11000500,0,1,100
10001,1,1,21000500,0,1,100
10001,1,1,31000500,0,1,100
10001,1,1,41000500,0,1,100
10001,1,1,10000500,0,1,100
10001,1,1,20000500,0,1,100
10001,1,1,30000500,0,1,100
10001,1,1,40000500,0,1,100
10001,1,1,15000500,0,1,100
10001,1,1,25000500,0,1,100
10001,1,1,35000500,0,1,100
10001,1,1,45000500,0,1,100
10001,1,1,16000500,0,1,100
10001,1,1,26000500,0,1,100
10001,1,1,36000500,0,1,100
10001,1,1,46000500,0,1,100
10001,1,1,17000500,0,1,100
10001,1,1,27000500,0,1,100
10001,1,1,37000500,0,1,100
10001,1,1,47000500,0,1,100
10001,1,1,18000500,0,1,100
10001,1,1,28000500,0,1,100
10001,1,1,38000500,0,1,100
10001,1,1,48000500,0,1,100
10001,1,1,19000500,0,1,100
10001,1,1,29000500,0,1,100
10001,1,1,39000500,0,1,100
10001,1,1,49000500,0,1,100
10001,1,1,12001000,0,1,100
10001,1,1,22001000,0,1,100
10001,1,1,32001000,0,1,100
10001,1,1,42001000,0,1,100
10001,1,1,11001000,0,1,100
10001,1,1,21001000,0,1,100
10001,1,1,31001000,0,1,100
10001,1,1,41001000,0,1,100
10001,1,1,10001000,0,1,100
10001,1,1,20001000,0,1,100
10001,1,1,30001000,0,1,100
10001,1,1,40001000,0,1,100
10001,1,1,15001000,0,1,100
10001,1,1,25001000,0,1,100
10001,1,1,35001000,0,1,100
10001,1,1,45001000,0,1,100
10001,1,1,16001000,0,1,100
10001,1,1,26001000,0,1,100
10001,1,1,36001000,0,1,100
10001,1,1,46001000,0,1,100
10001,1,1,17001000,0,1,100
10001,1,1,27001000,0,1,100
10001,1,1,37001000,0,1,100
10001,1,1,47001000,0,1,100
10001,1,1,18001000,0,1,100
10001,1,1,28001000,0,1,100
10001,1,1,38001000,0,1,100
10001,1,1,48001000,0,1,100
10001,1,1,19001000,0,1,100
10001,1,1,29001000,0,1,100
10001,1,1,39001000,0,1,100
10001,1,1,49001000,0,1,100
10001,1,1,12000110,0,1,70
10001,1,1,22000110,0,1,70
10001,1,1,32000110,0,1,70
10001,1,1,42000110,0,1,70
10001,1,1,11000110,0,1,70
10001,1,1,21000110,0,1,70
10001,1,1,31000110,0,1,70
10001,1,1,41000110,0,1,70
10001,1,1,10000110,0,1,70
10001,1,1,20000110,0,1,70
10001,1,1,30000110,0,1,70
10001,1,1,40000110,0,1,70
10001,1,1,15000110,0,1,70
10001,1,1,25000110,0,1,70
10001,1,1,35000110,0,1,70
10001,1,1,45000110,0,1,70
10001,1,1,16000110,0,1,70
10001,1,1,26000110,0,1,70
10001,1,1,36000110,0,1,70
10001,1,1,46000110,0,1,70
10001,1,1,17000110,0,1,70
10001,1,1,27000110,0,1,70
10001,1,1,37000110,0,1,70
10001,1,1,47000110,0,1,70
10001,1,1,18000110,0,1,70
10001,1,1,28000110,0,1,70
10001,1,1,38000110,0,1,70
10001,1,1,48000110,0,1,70
10001,1,1,19000110,0,1,70
10001,1,1,29000110,0,1,70
10001,1,1,39000110,0,1,70
10001,1,1,49000110,0,1,70
10001,1,1,12000510,0,1,70
10001,1,1,22000510,0,1,70
10001,1,1,32000510,0,1,70
10001,1,1,42000510,0,1,70
10001,1,1,11000510,0,1,70
10001,1,1,21000510,0,1,70
10001,1,1,31000510,0,1,70
10001,1,1,41000510,0,1,70
10001,1,1,10000510,0,1,70
10001,1,1,20000510,0,1,70
10001,1,1,30000510,0,1,70
10001,1,1,40000510,0,1,70
10001,1,1,15000510,0,1,70
10001,1,1,25000510,0,1,70
10001,1,1,35000510,0,1,70
10001,1,1,45000510,0,1,70
10001,1,1,16000510,0,1,70
10001,1,1,26000510,0,1,70
10001,1,1,36000510,0,1,70
10001,1,1,46000510,0,1,70
10001,1,1,17000510,0,1,70
10001,1,1,27000510,0,1,70
10001,1,1,37000510,0,1,70
10001,1,1,47000510,0,1,70
10001,1,1,18000510,0,1,70
10001,1,1,28000510,0,1,70
10001,1,1,38000510,0,1,70
10001,1,1,48000510,0,1,70
10001,1,1,19000510,0,1,70
10001,1,1,29000510,0,1,70
10001,1,1,39000510,0,1,70
10001,1,1,49000510,0,1,70
10001,1,1,12001010,0,1,70
10001,1,1,22001010,0,1,70
10001,1,1,32001010,0,1,70
10001,1,1,42001010,0,1,70
10001,1,1,11001010,0,1,70
10001,1,1,21001010,0,1,70
10001,1,1,31001010,0,1,70
10001,1,1,41001010,0,1,70
10001,1,1,10001010,0,1,70
10001,1,1,20001010,0,1,70
