id,装备等级,装备品质,前缀名称,掉落权重,增加属性,增加数值,,,,,,
,每10级用不同的前缀属性；1到10级取10级,,,每个等级段为一个分组,属性字典,,,,,,,
,,,,,,,,,,,,
1,10,0,活力之,50,1,10,,,,,,
2,20,0,活力之,50,1,20,,,,,,
3,30,0,活力之,50,1,34,,,,,,
4,40,0,活力之,50,1,53,,,,,,
5,50,0,活力之,50,1,76,,,,,,
6,60,0,活力之,50,1,103,,,,,,
7,10,0,力量之,50,3,1,,,,,,
8,20,0,力量之,50,3,3,,,,,,
9,30,0,力量之,50,3,5,,,,,,
10,40,0,力量之,50,3,7,,,,,,
11,50,0,力量之,50,3,10,,,,,,
12,60,0,力量之,50,3,14,,,,,,
13,20,0,守护之,50,4,1,,,,,,
14,30,0,守护之,50,4,2,,,,,,
15,40,0,守护之,50,4,3,,,,,,
16,50,0,守护之,50,4,4,,,,,,
17,60,0,守护之,50,4,6,,,,,,
18,10,0,能量之,50,5,1,,,,,,
19,20,0,能量之,50,5,3,,,,,,
20,30,0,能量之,50,5,5,,,,,,
21,40,0,能量之,50,5,7,,,,,,
22,50,0,能量之,50,5,10,,,,,,
23,60,0,能量之,50,5,14,,,,,,
24,20,0,金骨之,50,6,1,,,,,,
25,30,0,金骨之,50,6,2,,,,,,
26,40,0,金骨之,50,6,3,,,,,,
27,50,0,金骨之,50,6,4,,,,,,
28,60,0,金骨之,50,6,6,,,,,,
29,10,0,凝神之,50,7,1,,,,,,
30,20,0,凝神之,50,7,2,,,,,,
31,30,0,凝神之,50,7,4,,,,,,
32,40,0,凝神之,50,7,7,,,,,,
33,50,0,凝神之,50,7,10,,,,,,
34,60,0,凝神之,50,7,13,,,,,,
35,10,0,灵巧之,50,8,1,,,,,,
36,20,0,灵巧之,50,8,2,,,,,,
37,30,0,灵巧之,50,8,4,,,,,,
38,40,0,灵巧之,50,8,7,,,,,,
39,50,0,灵巧之,50,8,10,,,,,,
40,60,0,灵巧之,50,8,13,,,,,,
41,10,0,残暴之,50,9,1,,,,,,
42,20,0,残暴之,50,9,2,,,,,,
43,30,0,残暴之,50,9,4,,,,,,
44,40,0,残暴之,50,9,7,,,,,,
45,50,0,残暴之,50,9,10,,,,,,
46,60,0,残暴之,50,9,13,,,,,,
47,10,0,裂甲之,50,10,1,,,,,,
48,20,0,裂甲之,50,10,2,,,,,,
49,30,0,裂甲之,50,10,4,,,,,,
50,40,0,裂甲之,50,10,7,,,,,,
51,50,0,裂甲之,50,10,10,,,,,,
52,60,0,裂甲之,50,10,13,,,,,,
53,10,0,洞穿之,50,11,1,,,,,,
54,20,0,洞穿之,50,11,2,,,,,,
55,30,0,洞穿之,50,11,4,,,,,,
56,40,0,洞穿之,50,11,7,,,,,,
57,50,0,洞穿之,50,11,10,,,,,,
58,60,0,洞穿之,50,11,13,,,,,,
59,10,1,再生之,40,1,12,,,,,,
60,20,1,再生之,40,1,25,,,,,,
61,30,1,再生之,40,1,43,,,,,,
62,40,1,再生之,40,1,67,,,,,,
63,50,1,再生之,40,1,95,,,,,,
64,60,1,再生之,40,1,129,,,,,,
65,10,1,野蛮之,40,3,2,,,,,,
66,20,1,野蛮之,40,3,4,,,,,,
67,30,1,野蛮之,40,3,6,,,,,,
68,40,1,野蛮之,40,3,9,,,,,,
69,50,1,野蛮之,40,3,13,,,,,,
70,60,1,野蛮之,40,3,17,,,,,,
71,10,1,庇护之,40,4,1,,,,,,
72,20,1,庇护之,40,4,2,,,,,,
73,30,1,庇护之,40,4,3,,,,,,
74,40,1,庇护之,40,4,4,,,,,,
75,50,1,庇护之,40,4,6,,,,,,
76,60,1,庇护之,40,4,8,,,,,,
77,10,1,神力之,40,5,2,,,,,,
78,20,1,神力之,40,5,4,,,,,,
79,30,1,神力之,40,5,6,,,,,,
80,40,1,神力之,40,5,9,,,,,,
81,50,1,神力之,40,5,13,,,,,,
82,60,1,神力之,40,5,17,,,,,,
