套装属性ID,套装名称,2件套属性ID,数值,4件套属性ID,数值,6件套属性ID,数值,8件套属性ID,数值,套装装备ID1,套装装备ID2,套装装备ID3,套装装备ID4,套装装备ID5,套装装备ID6,套装装备ID7,套装装备ID8,套装特效ID,备注
,,,,,,,,,,,,,,,,,,1、野外副本（紫色）2、野外副本（橙色） 3、战场 4、竞技场 5、世界BOSS,
,,,,,,,,,,,,,,,,,,,
1203040,杀·玄冥,7,44,9,44,10,44,3,46,12203040,11203040,10203040,15203040,16203040,17203040,18203040,19203040,30014,物攻30级品质4（世界boss）
2203040,杀·巫月,7,44,9,44,10,44,5,46,22203040,21203040,20203040,25203040,26203040,27203040,28203040,29203040,30014,法攻30级品质4（世界boss）
3203040,杀·天绝,8,44,6,21,4,21,1,346,32203040,31203040,30203040,35203040,36203040,37203040,38203040,39203040,30014,防御30级品质4（世界boss）
4203040,杀·寂灭,9,44,6,21,4,21,1,346,42203040,41203040,40203040,45203040,46203040,47203040,48203040,49203040,30014,治疗30级品质4（世界boss）
1204040,战·司幽,7,68,9,68,10,68,3,71,12204040,11204040,10204040,15204040,16204040,17204040,18204040,19204040,30014,物攻40级品质4（世界boss）
2204040,战·赤羽,7,68,9,68,10,68,5,71,22204040,21204040,20204040,25204040,26204040,27204040,28204040,29204040,30014,法攻40级品质4（世界boss）
3204040,战·龙渊,8,68,6,32,4,32,1,533,32204040,31204040,30204040,35204040,36204040,37204040,38204040,39204040,30014,防御40级品质4（世界boss）
4204040,战·血瑶,9,68,6,32,4,32,1,533,42204040,41204040,40204040,45204040,46204040,47204040,48204040,49204040,30014,治疗40级品质4（世界boss）
1205040,伐·九霄灵,7,96,9,96,10,96,3,102,12205040,11205040,10205040,15205040,16205040,17205040,18205040,19205040,30014,物攻50级品质4（世界boss）
2205040,伐·月华飞,7,96,9,96,10,96,5,102,22205040,21205040,20205040,25205040,26205040,27205040,28205040,29205040,30014,法攻50级品质4（世界boss）
3205040,伐·炽日焚,8,69,6,46,4,46,1,761,32205040,31205040,30205040,35205040,36205040,37205040,38205040,39205040,30014,防御50级品质4（世界boss）
4205040,伐·日月华,9,96,6,46,4,46,1,761,42205040,41205040,40205040,45205040,46205040,47205040,48205040,49205040,30014,治疗50级品质4（世界boss）
1206040,屠·血骨,7,131,9,131,10,131,3,137,12206040,11206040,10206040,15206040,16206040,17206040,18206040,19206040,30014,物攻60级品质4（世界boss）
2206040,屠·断魂,7,131,9,131,10,131,5,137,22206040,21206040,20206040,25206040,26206040,27206040,28206040,29206040,30014,法攻60级品质4（世界boss）
3206040,屠·霸王,8,131,6,62,4,62,1,1031,32206040,31206040,30206040,35206040,36206040,37206040,38206040,39206040,30014,防御60级品质4（世界boss）
4206040,屠·亡魂,9,131,6,62,4,62,1,1031,42206040,41206040,40206040,45206040,46206040,47206040,48206040,49206040,30014,治疗60级品质4（世界boss）
1403040,神·大力神,1,311,3,41,4,19,6,19,12403040,11403040,10403040,15403040,16403040,17403040,18403040,19403040,30012,物攻30级品质4（战场）
2403040,神·大御神,1,311,5,41,6,19,4,19,22403040,21403040,20403040,25403040,26403040,27403040,28403040,29403040,30012,法攻30级品质4（战场）
1404040,妖·斩妖,1,480,3,64,4,29,6,29,12404040,11404040,10404040,15404040,16404040,17404040,18404040,19404040,30012,物攻40级品质4（战场）
2404040,妖·诛妖,1,480,5,64,6,29,4,29,22404040,21404040,20404040,25404040,26404040,27404040,28404040,29404040,30012,法攻40级品质4（战场）
1405040,魔·降魔,1,685,3,92,4,41,6,41,12405040,11405040,10405040,15405040,16405040,17405040,18405040,19405040,30012,物攻50级品质4（战场）
2405040,魔·伏魔,1,685,5,92,6,41,4,41,22405040,21405040,20405040,25405040,26405040,27405040,28405040,29405040,30012,法攻50级品质4（战场）
1406040,仙·天外仙,1,928,3,123,4,56,6,56,12406040,11406040,10406040,15406040,16406040,17406040,18406040,19406040,30012,物攻60级品质4（战场）
2406040,仙·鹤上仙,1,928,5,123,6,56,4,56,22406040,21406040,20406040,25406040,26406040,27406040,28406040,29406040,30012,法攻60级品质4（战场）
1303040,无双·凶神,11,40,10,40,7,40,3,41,12303040,11303040,10303040,15303040,16303040,17303040,18303040,19303040,30013,物攻30级品质4（竞技场）
2303040,无双·恶煞,11,40,10,40,7,40,5,41,22303040,21303040,20303040,25303040,26303040,27303040,28303040,29303040,30013,法攻30级品质4（竞技场）
1304040,至尊·渡劫,11,61,10,61,7,61,3,64,12304040,11304040,10304040,15304040,16304040,17304040,18304040,19304040,30013,物攻40级品质4（竞技场）
2304040,至尊·渡厄,11,61,10,61,7,61,5,64,22304040,21304040,20304040,25304040,26304040,27304040,28304040,29304040,30013,法攻40级品质4（竞技场）
1305040,神话·盘古,11,86,10,86,7,86,3,92,12305040,11305040,10305040,15305040,16305040,17305040,18305040,19305040,30013,物攻50级品质4（竞技场）
2305040,神话·女娲,11,86,10,86,7,86,5,92,22305040,21305040,20305040,25305040,26305040,27305040,28305040,29305040,30013,法攻50级品质4（竞技场）
1306040,太古·惊天,11,118,10,118,7,118,3,123,12306040,11306040,10306040,15306040,16306040,17306040,18306040,19306040,30013,物攻60级品质4（竞技场）
2306040,太古·泣鬼,11,118,10,118,7,118,5,123,22306040,21306040,20306040,25306040,26306040,27306040,28306040,29306040,30013,法攻60级品质4（竞技场）
1101030,玄霄,7,10,11,10,9,10,3,10,12101030,11101030,10101030,15101030,16101030,17101030,18101030,19101030,30010,物攻10级品质3(副本套装)
1102030,云影,7,20,11,20,9,20,3,22,12102030,11102030,10102030,15102030,16102030,17102030,18102030,19102030,30010,物攻20级品质3(副本套装)
1102530,长虹,7,23,11,23,9,23,3,25,12102530,11102530,10102530,15102530,16102530,17102530,18102530,19102530,30010,物攻25级品质3(副本套装)
1103030,断月,7,35,11,35,9,35,3,37,12103030,11103030,10103030,15103030,16103030,17103030,18103030,19103030,30010,物攻30级品质3(副本套装)
1103530,流霞,7,39,11,39,9,39,3,42,12103530,11103530,10103530,15103530,16103530,17103530,18103530,19103530,30010,物攻35级品质3(副本套装)
1104030,傲月天芒,7,54,11,54,9,54,3,57,12104030,11104030,10104030,15104030,16104030,17104030,18104030,19104030,30010,物攻40级品质3(副本套装)
1104530,纵虎归山,7,59,11,59,9,59,3,62,12104530,11104530,10104530,15104530,16104530,17104530,18104530,19104530,30010,物攻45级品质3(副本套装)
1105030,祖龙之虐,7,77,11,77,9,77,3,82,12105030,11105030,10105030,15105030,16105030,17105030,18105030,19105030,30010,物攻50级品质3(副本套装)
1105530,七杀乱世,7,84,11,84,9,84,3,88,12105530,11105530,10105530,15105530,16105530,17105530,18105530,19105530,30010,物攻55级品质3(副本套装)
1106030,百鬼夜行,7,105,11,105,9,105,3,110,12106030,11106030,10106030,15106030,16106030,17106030,18106030,19106030,30010,物攻60级品质3(副本套装)
1101040,天龙,7,11,11,11,9,11,3,12,12101040,11101040,10101040,15101040,16101040,17101040,18101040,19101040,30011,物攻10级品质4(副本套装)
1102040,水龙吟,7,23,11,23,9,23,3,24,12102040,11102040,10102040,15102040,16102040,17102040,18102040,19102040,30011,物攻20级品质4(副本套装)
1102540,昆吾,7,26,11,26,9,26,3,28,12102540,11102540,10102540,15102540,16102540,17102540,18102540,19102540,30011,物攻25级品质4(副本套装)
1103040,赤松子,7,40,11,40,9,40,3,41,12103040,11103040,10103040,15103040,16103040,17103040,18103040,19103040,30011,物攻30级品质4(副本套装)
1103540,夜光芝,7,44,11,44,9,44,3,47,12103540,11103540,10103540,15103540,16103540,17103540,18103540,19103540,30011,物攻35级品质4(副本套装)
1104040,浊垢元壤,7,61,11,61,9,61,3,64,12104040,11104040,10104040,15104040,16104040,17104040,18104040,19104040,30011,物攻40级品质4(副本套装)
1104540,十方俱灭,7,67,11,67,9,67,3,70,12104540,11104540,10104540,15104540,16104540,17104540,18104540,19104540,30011,物攻45级品质4(副本套装)
1105040,鲲鹏击海,7,86,11,86,9,86,3,92,12105040,11105040,10105040,15105040,16105040,17105040,18105040,19105040,30011,物攻50级品质4(副本套装)
1105540,日月并明,7,95,11,95,9,95,3,99,12105540,11105540,10105540,15105540,16105540,17105540,18105540,19105540,30011,物攻55级品质4(副本套装)
1106040,冥王之力,7,118,11,118,9,118,3,123,12106040,11106040,10106040,15106040,16106040,17106040,18106040,19106040,30011,物攻60级品质4(副本套装)
2101030,玄清,7,10,11,10,9,10,5,10,22101030,21101030,20101030,25101030,26101030,27101030,28101030,29101030,30010,法攻10级品质3(副本套装)
2102030,天漏,7,20,11,20,9,20,5,22,22102030,21102030,20102030,25102030,26102030,27102030,28102030,29102030,30010,法攻20级品质3(副本套装)
2102530,赤霞,7,23,11,23,9,23,5,25,22102530,21102530,20102530,25102530,26102530,27102530,28102530,29102530,30010,法攻25级品质3(副本套装)
2103030,绝情,7,35,11,35,9,35,5,37,22103030,21103030,20103030,25103030,26103030,27103030,28103030,29103030,30010,法攻30级品质3(副本套装)
2103530,流月,7,39,11,39,9,39,5,42,22103530,21103530,20103530,25103530,26103530,27103530,28103530,29103530,30010,法攻35级品质3(副本套装)
2104030,风清月皎,7,54,11,54,9,54,5,57,22104030,21104030,20104030,25104030,26104030,27104030,28104030,29104030,30010,法攻40级品质3(副本套装)
2104530,虎啸风生,7,59,11,59,9,59,5,62,22104530,21104530,20104530,25104530,26104530,27104530,28104530,29104530,30010,法攻45级品质3(副本套装)
2105030,盘龙烈焰,7,77,11,77,9,77,5,82,22105030,21105030,20105030,25105030,26105030,27105030,28105030,29105030,30010,法攻50级品质3(副本套装)
2105530,贪狼善道,7,84,11,84,9,84,5,88,22105530,21105530,20105530,25105530,26105530,27105530,28105530,29105530,30010,法攻55级品质3(副本套装)
2106030,百鸟朝凤,7,105,11,105,9,105,5,110,22106030,21106030,20106030,25106030,26106030,27106030,28106030,29106030,30010,法攻60级品质3(副本套装)
2101040,飞鸿,7,11,11,11,9,11,5,12,22101040,21101040,20101040,25101040,26101040,27101040,28101040,29101040,30011,法攻10级品质4(副本套装)
