道具ID,道具名称,出售价格,堆叠上限,道具品质,存在时间,需求等级,能否使用,批量使用,合成目标ID,物品大类,物品小类,参数1,参数2,参数3,基础属性1,数值,基础属性2,数值,基础属性3,数值,基础属性4,数值,套装ID,外观ID,掉落图标,使用后提示,图标,物品描述,备注
,,,,0=白色 1=绿色 2=蓝色 3=紫色 4=橙色,持续状态:0表示永久存在；>1则表示道具从获取到消失之间的时间(单位:秒),,0不能 1能,0不能 1能,,物品字典,物品字典,物品字典,物品字典,物品字典,,,,,,,,,,,,不能使用回车和半角的逗号,,不能使用回车和半角的逗号,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,绝学1,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
114,绝学2,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
115,绝学3,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
116,绝学4,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
117,绝学5,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
12000100,归真剑,3000,1,0,0,1,0,0,12000110,0,2,20,0,0,1,200,2,0.2,3,100,4,0.2,0,1,ItemIcon/12001.png,0,ItemIcon/12001.png,修仙常用剑，淳真之剑气利于修行。,物攻武器1级品质0
22101030,玄清拂,4368,1,3,0,10,0,0,0,0,2,20,0,0,5,20,6,0.2,7,10,8,0.2,2101030,4,ItemIcon/22010.png,0,ItemIcon/22010.png,玄清整洁，衣服就像新的一样。,法攻武器10级品质3(副本套装)
32101030,重玄刀,4368,1,3,0,10,0,0,0,0,2,20,0,0,9,50,10,0.2,11,50,12,0.2,3101030,3,ItemIcon/32010.png,0,ItemIcon/32010.png,玄之又玄，感觉萌萌哒。,防御武器10级品质3(副本套装)
