id,任务名,任务类型,需求等级,境界限制,前置任务id,接取地图ID,接取npcID,接取奖励物品id,交付地图ID,交付npcID,交付奖励物品ID,交付奖励人物经验,交付奖励境界经验,货币属性ID,数量,任务条件类型,条件参数1,条件参数2,任务目标地图id,任务目标点,每日可做次数,可接任务对话,接取任务对话,接取取任对话后传送地图ID,传送地图位置,可交任务对话,交付任务对话,任务目标描述,任务描述
,,0、主线任务 1、支线任务 2、日常任务 3、公会任务,,,,,,,,,,,,,,任务条件字典（0对话1杀怪2使用道具3交付物品4物品收集5公关副本6护送7采集,任务条件字典,任务条件字典,,,,,,,,,,,描述不能使用回车和半角的逗号
,,,,,,,,,,,,,,,,,对象id,数量,,,,,,,,,,,
1,打听情况,0,1,0,0,1001,1001,0,1001,1001,30001,500,0,0,0,0,1001,1,1001,23#37,0,0,0,0,0,1,0,搭讪软妹子,忽然得了一种什么都记不起来的病，前面有个妹纸，赶紧去搭讪吧。
2,救命之恩,0,2,0,1,1001,1001,0,1001,1002,30002,500,0,0,0,0,1002,3,1001,16#33,0,2,0,0,0,3,0,前去感谢大师姐,前去感激青云山大师姐的救命之恩，师姐真是个活雷锋。
3,采集草药,0,2,0,2,1001,1002,0,1001,1002,30003,500,0,0,0,7,1,3,1001,28#41,0,4,0,0,0,0,5,去采集一些止血草,哈哈，道友真调皮，看你恢复的不错，可以帮我去采点草药来吗？
4,讲述经历,0,3,0,3,1001,1002,0,1001,1002,0,900,0,0,0,0,1002,7,1001,16#33,0,6,0,0,0,7,0,听师姐唠叨,大师姐向你讲述了救你的一些经过，你表示很迷茫。
5,恢复锻炼,0,3,0,4,1001,1002,0,1001,1001,0,1100,0,0,0,1,100101,5,1001,18#40,0,8,0,0,0,9,0,采集蝴蝶灵力,为了恢复记忆，去采集一些蝴蝶灵力调养身体，花骨子夸你好少年。
6,学习功法,1,4,0,4,1001,1002,0,1001,1002,30004,100,0,0,0,0,1002,1,1001,16#33,0,10,0,0,0,11,0,学习功法,师姐送你几本功法书，生活顿时充满了希望。
7,比谁更惨,0,4,0,5,1001,1001,0,1001,1001,30005,1400,0,0,0,0,1001,13,1001,23#37,0,12,0,0,0,13,0,听花骨子唠叨,花骨子讲述了自己的身世，以此来鼓励你别灰心。
8,烦人家伙,0,4,0,7,1001,1001,0,1001,1001,0,1600,0,0,0,1,100102,3,1001,9#35,0,14,0,0,0,15,0,除掉附近的野狼,帮花骨子解决一些烦人家伙，多听了她唠叨两句。
9,拜见师叔,0,5,0,8,1001,1001,0,1001,1003,0,1900,0,0,0,0,1003,17,1001,7#28,0,16,0,0,0,17,0,拜见元真师叔,元真师叔正好在附近，就去拜见拜见这位得道高人。
10,打些野味,0,5,0,9,1001,1003,0,1001,1003,0,2100,0,0,0,1,100102,4,1001,9#35,0,18,0,0,0,19,0,鲜美的野狼肉,没想到元真师叔好酒好肉，帮他打打野味，累觉不爱。
11,拜见掌门,0,6,0,10,1001,1003,0,1001,1008,0,2800,0,0,0,0,1008,21,1001,13#12,0,20,0,0,0,21,0,前去拜见掌门,马上就要见到传说中的掌门了，想想还是很激动呢。
12,询问去处,0,6,0,11,1001,1008,0,1001,1008,0,3200,0,0,0,0,1008,23,1001,13#12,0,0,22,0,0,23,0,掌门询问去处,掌门想了解你未来的打算，你表示失忆的人随便哪里都能潇洒。
13,加入门派,0,7,0,12,1001,1008,0,1001,1008,0,3500,0,0,0,0,1008,25,1001,13#12,0,24,0,0,0,25,0,加入青云门派,掌门邀请你加入青云门，一想想自己身受重伤恐被追杀，还是答应了。
14,入门报到,0,7,0,13,1001,1008,0,1001,1009,0,4500,0,0,0,0,1009,27,1001,18#11,0,26,0,0,0,27,0,找大师兄报道,掌门让你去找大师兄报到，交代你一些门派事宜。
